numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
14087,ACA 480,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-09-13,,,ARG,,,,ASOCIACIÓN DE COOPERATIVAS ARGENTINAS COOPERATIVA LIMITADA,ACCASTELLO VICTOR,,
14088,ACA 530,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-09-13,,,ARG,,,,ASOCIACIÓN DE COOPERATIVAS ARGENTINAS COOPERATIVA LIMITADA,ACCASTELLO VICTOR,,
14089,ACA 514,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-09-13,,,ARG,,,,ASOCIACIÓN DE COOPERATIVAS ARGENTINAS COOPERATIVA LIMITADA,ACCASTELLO VICTOR,,
14094,582HXRR2,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-01,,,ARG,TR,DAS-Ø15Ø7-1 x MON-ØØ6Ø3-6,Resistencia a Lepidópteros y tolerancia a Glufosinato de Amonio y Glifosato ,DOW AGROSCIENCES ARGENTINA SA,ROQUE HERNAN GUILLEN VAZQUEZ,,
14095,30A91HX,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-01,,,ARG,TR,DAS-Ø15Ø7-1,Resistencia a Lepidópteros y tolerancia a Glufosinato de Amonio ,DOW AGROSCIENCES ARGENTINA SA,ROQUE HERNAN GUILLEN VAZQUEZ,,
14096,20A55HX,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-01,,,ARG,TR,DAS-Ø15Ø7-1,Resistencia a Lepidópteros y tolerancia a Glufosinato de Amonio ,DOW AGROSCIENCES ARGENTINA SA,ROQUE HERNAN GUILLEN VAZQUEZ,,
14097,ALZ290HX,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-01,,,ARG,TR,DAS-Ø15Ø7-1,Resistencia a Lepidópteros y tolerancia a Glufosinato de Amonio ,DOW AGROSCIENCES ARGENTINA SA,ROQUE HERNAN GUILLEN VAZQUEZ,,
14098,2A550HX,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-01,,,ARG,TR,DAS-Ø15Ø7-1,Resistencia a Lepidópteros y tolerancia a Glufosinato de Amonio ,DOW AGROSCIENCES ARGENTINA SA,ROQUE HERNAN GUILLEN VAZQUEZ,,
14099,30A37HX,MAIZ,HIBRIDO SIMPLE,Zea mays L.,CE,2012-10-01,,,ARG,TR,DAS-Ø15Ø7-1,Resistencia a Lepidópteros y tolerancia a Glufosinato de Amonio ,DOW AGROSCIENCES ARGENTINA SA,ROQUE HERNAN GUILLEN VAZQUEZ,,
14100,UG-822,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-10-04,,,UN3,,,,FLORENSA ARGENTINA SA,FLORENSA PABLO AGUSTIN,,
14101,CORERA,PIMIENTO,HIBRIDO,Capsicum annuum L.,HT,2012-10-04,,,SPA,,,,FLORENSA ARGENTINA SA,FLORENSA PABLO AGUSTIN,,
14102,CIERZO,PIMIENTO,HIBRIDO,Capsicum annuum L.,HT,2012-10-04,,,SPA,,,,FLORENSA ARGENTINA SA,FLORENSA PABLO AGUSTIN,,
14103,ACA 548,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-09,,,ARG,,,,ASOCIACIÓN DE COOPERATIVAS ARGENTINAS COOPERATIVA LIMITADA,ACCASTELLO VICTOR,,
14104,MORELIA,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-10-09,,,NET,,,,ROQUE LAURIA SEMILLAS S.R.L.,LAURIA SILVIA,,
14105,ARGENFOR 180 FS,SORGO,FORRAJERO HIBRIDOS,Sorghum spp,FO,2012-11-01,,,ARG,,,,"MARANESSI, PEDRO JOSE",MARANESSI JOSE PEDRO,,
14106,ARGENSOR 125 B,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-09,,,ARG,,,,"MARANESSI, PEDRO JOSE",MARANESSI JOSE PEDRO,,
14111,MS 06,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-10-12,,,ARG,AO,,,ADVANTA SEMILLAS S.A.I.C.,DICUN RUBEN DARIO,,
14112,DON OSVALDO,LOTUS CORNICULADO,,Lotus corniculatus L.,FO,2012-11-07,,,ARG,,,,ELIAS SEMILLAS E INSUMOS SRL,ELIAS MARCOS,,
14113,VALENTINO,LOTUS TENUIS,,Lotus tenuis Waldst. et Kit. ex Willd.,FO,2012-11-07,,,ARG,,,,ELIAS SEMILLAS E INSUMOS SRL,ELIAS MARCOS,,
